species,year,doy,source
syringa vulgaris,1966,105,us_phen
syringa vulgaris,1968,144,us_phen
syringa vulgaris,1969,147,us_phen
syringa vulgaris,1970,144,us_phen
syringa vulgaris,1971,159,us_phen
syringa vulgaris,1972,147,us_phen
syringa vulgaris,1974,148,us_phen
syringa vulgaris,1975,155,us_phen
syringa vulgaris,1976,143,us_phen
syringa vulgaris,1957,119,us_phen
syringa vulgaris,1958,129,us_phen
syringa vulgaris,1959,116,us_phen
syringa vulgaris,1960,124,us_phen
syringa vulgaris,1968,119,us_phen
syringa vulgaris,1971,130,us_phen
syringa vulgaris,1974,116,us_phen
syringa vulgaris,1975,133,us_phen
syringa vulgaris,1976,129,us_phen
syringa vulgaris,1977,109,us_phen
syringa vulgaris,1978,94,us_phen
syringa vulgaris,1957,93,us_phen
syringa vulgaris,1958,82,us_phen
syringa vulgaris,1959,83,us_phen
syringa vulgaris,1960,76,us_phen
syringa vulgaris,1961,74,us_phen
syringa vulgaris,1962,88,us_phen
syringa vulgaris,1963,70,us_phen
syringa vulgaris,1964,62,us_phen
syringa vulgaris,1966,79,us_phen
syringa vulgaris,1967,79,us_phen
syringa vulgaris,1968,60,us_phen
syringa vulgaris,1969,88,us_phen
syringa vulgaris,1970,70,us_phen
syringa vulgaris,1971,74,us_phen
syringa vulgaris,1972,73,us_phen
syringa vulgaris,1957,106,us_phen
syringa vulgaris,1958,111,us_phen
syringa vulgaris,1960,89,us_phen
syringa vulgaris,1961,91,us_phen
syringa vulgaris,1962,99,us_phen
syringa vulgaris,1967,132,us_phen
syringa vulgaris,1969,115,us_phen
syringa vulgaris,1972,82,us_phen
syringa vulgaris,1973,120,us_phen
syringa vulgaris,1974,109,us_phen
syringa vulgaris,1957,93,us_phen
syringa vulgaris,1959,92,us_phen
syringa vulgaris,1962,99,us_phen
syringa vulgaris,1963,92,us_phen
syringa vulgaris,1964,97,us_phen
syringa vulgaris,1965,86,us_phen
syringa vulgaris,1966,93,us_phen
syringa vulgaris,1967,115,us_phen
syringa vulgaris,1957,121,us_phen
syringa vulgaris,1958,119,us_phen
syringa vulgaris,1960,100,us_phen
syringa vulgaris,1961,102,us_phen
syringa vulgaris,1962,107,us_phen
syringa vulgaris,1963,133,us_phen
syringa vulgaris,1964,116,us_phen
syringa vulgaris,1965,117,us_phen
syringa vulgaris,1967,78,us_phen
syringa vulgaris,1968,75,us_phen
syringa vulgaris,1969,95,us_phen
syringa vulgaris,1970,117,us_phen
syringa vulgaris,1971,80,us_phen
syringa vulgaris,1972,64,us_phen
syringa vulgaris,1957,108,us_phen
syringa vulgaris,1958,103,us_phen
syringa vulgaris,1959,96,us_phen
syringa vulgaris,1960,98,us_phen
syringa vulgaris,1961,92,us_phen
syringa vulgaris,1962,102,us_phen
syringa vulgaris,1963,100,us_phen
syringa vulgaris,1964,103,us_phen
syringa vulgaris,1967,122,us_phen
syringa vulgaris,1968,93,us_phen
syringa vulgaris,1969,109,us_phen
syringa vulgaris,1970,93,us_phen
syringa vulgaris,1971,107,us_phen
syringa vulgaris,1957,86,us_phen
syringa vulgaris,1958,68,us_phen
syringa vulgaris,1959,87,us_phen
syringa vulgaris,1960,84,us_phen
syringa vulgaris,1961,69,us_phen
syringa vulgaris,1963,79,us_phen
syringa vulgaris,1964,71,us_phen
syringa vulgaris,1965,72,us_phen
syringa vulgaris,1966,73,us_phen
syringa vulgaris,1968,68,us_phen
syringa vulgaris,1970,87,us_phen
syringa vulgaris,1971,87,us_phen
syringa vulgaris,1972,72,us_phen
syringa vulgaris,1973,75,us_phen
syringa vulgaris,1974,79,us_phen
syringa vulgaris,1975,89,us_phen
syringa vulgaris,1967,79,us_phen
syringa vulgaris,1968,88,us_phen
syringa vulgaris,1969,103,us_phen
syringa vulgaris,1970,90,us_phen
syringa vulgaris,1972,66,us_phen
syringa vulgaris,1973,102,us_phen
syringa vulgaris,1976,98,us_phen
syringa vulgaris,1977,98,us_phen
syringa vulgaris,1967,81,us_phen
syringa vulgaris,1968,58,us_phen
syringa vulgaris,1969,84,us_phen
syringa vulgaris,1970,71,us_phen
syringa vulgaris,1971,46,us_phen
syringa vulgaris,1972,57,us_phen
syringa vulgaris,1973,75,us_phen
syringa vulgaris,1974,7,us_phen
syringa vulgaris,1975,82,us_phen
syringa vulgaris,1957,99,us_phen
syringa vulgaris,1958,110,us_phen
syringa vulgaris,1959,94,us_phen
syringa vulgaris,1960,93,us_phen
syringa vulgaris,1961,96,us_phen
syringa vulgaris,1962,98,us_phen
syringa vulgaris,1963,97,us_phen
syringa vulgaris,1964,110,us_phen
syringa vulgaris,1965,109,us_phen
syringa vulgaris,1966,94,us_phen
syringa vulgaris,1968,90,us_phen
syringa vulgaris,1969,109,us_phen
syringa vulgaris,1970,107,us_phen
syringa vulgaris,1971,83,us_phen
syringa vulgaris,1972,64,us_phen
syringa vulgaris,1973,114,us_phen
syringa vulgaris,1974,103,us_phen
syringa vulgaris,1975,121,us_phen
syringa vulgaris,1958,111,us_phen
syringa vulgaris,1959,93,us_phen
syringa vulgaris,1960,90,us_phen
syringa vulgaris,1961,93,us_phen
syringa vulgaris,1962,102,us_phen
syringa vulgaris,1964,105,us_phen
syringa vulgaris,1965,104,us_phen
syringa vulgaris,1966,92,us_phen
syringa vulgaris,1967,91,us_phen
syringa vulgaris,1970,95,us_phen
syringa vulgaris,1972,72,us_phen
syringa vulgaris,1973,89,us_phen
syringa vulgaris,1975,75,us_phen
syringa vulgaris,1957,130,us_phen
syringa vulgaris,1958,127,us_phen
syringa vulgaris,1959,115,us_phen
syringa vulgaris,1960,103,us_phen
syringa vulgaris,1961,106,us_phen
syringa vulgaris,1962,103,us_phen
syringa vulgaris,1963,146,us_phen
syringa vulgaris,1964,118,us_phen
syringa vulgaris,1965,75,us_phen
syringa vulgaris,1966,110,us_phen
syringa vulgaris,1967,135,us_phen
syringa vulgaris,1968,103,us_phen
syringa vulgaris,1969,124,us_phen
syringa vulgaris,1970,99,us_phen
syringa vulgaris,1971,106,us_phen
syringa vulgaris,1972,107,us_phen
syringa vulgaris,1973,120,us_phen
syringa vulgaris,1975,136,us_phen
syringa vulgaris,1957,91,us_phen
syringa vulgaris,1958,76,us_phen
syringa vulgaris,1959,83,us_phen
syringa vulgaris,1960,80,us_phen
syringa vulgaris,1961,62,us_phen
