"species","doy","year","source"
"Arrhenatherum_elatius",129,1967,"uknc"
"Calluna_vulgaris",208,1967,"uknc"
"Avena_sativa",184,1967,"uknc"
"Antirrhinum_majus",149,1967,"uknc"
"Aster_novi-belgii",216,1967,"uknc"
"Cynosurus_cristatus",148,1967,"uknc"
"Briza_media",146,1967,"uknc"
"Poa_pratensis",112,1967,"uknc"
"Plantago_lanceolata",120,1967,"uknc"
"Trifolium_pratense",130,1967,"uknc"
"Deschampsia_flexuosa",159,1967,"uknc"
"Poa_nemoralis",140,1967,"uknc"
"Poa_trivialis",157,1967,"uknc"
"Deschampsia_cespitosa",161,1967,"uknc"
"Viola_odorata",64,1967,"uknc"
"Festuca_pratensis",169,1967,"uknc"
"Festuca_rubra",131,1967,"uknc"
"Festuca_arundinacea",131,1967,"uknc"
"Papaver_somniferum",181,1967,"uknc"
"Ribes_nigrum",115,1967,"uknc"
"Rubus_idaeus",153.579235,1968,"uknc"
"Alopecurus_pratensis",116.6803279,1968,"uknc"
"Ilex_aquifolium",139.6174863,1968,"uknc"
"Cichorium_intybus",187.4863388,1968,"uknc"
"Ranunculus_ficaria",1.994535519,1968,"uknc"
"Ribes_rubrum",127.6502732,1968,"uknc"
"Phleum_pratense",172.5273224,1968,"uknc"
"Geum_urbanum",152.5819672,1968,"uknc"
"Lunaria_annua",110.6967213,1968,"uknc"
"Trifolium_repens",144.6038251,1968,"uknc"
"Digitalis_purpurea",159.5628415,1968,"uknc"
"Scrophularia_vernalis",110.6967213,1968,"uknc"
"Anagallis_arvensis",103.715847,1968,"uknc"
"Solidago_canadensis",200.4508197,1968,"uknc"
"Poa_pratensis",116.6803279,1968,"uknc"
"Chenopodium_album",184.4945355,1968,"uknc"
"Lactuca_serriola",197.4590164,1968,"uknc"
"Silene_dioica",117.6775956,1968,"uknc"
"Sinapis_alba",137.6229508,1968,"uknc"
"Sonchus_oleraceus",145.6010929,1968,"uknc"
"Arrhenatherum_elatius",154.5765027,1968,"uknc"
"Calluna_vulgaris",187.4863388,1968,"uknc"
"Antirrhinum_majus",154.5765027,1968,"uknc"
"Aster_novi-belgii",236.352459,1968,"uknc"
"Cynosurus_cristatus",153.579235,1968,"uknc"
"Briza_media",145.6010929,1968,"uknc"
"Plantago_lanceolata",116.6803279,1968,"uknc"
"Trifolium_pratense",136.6256831,1968,"uknc"
"Deschampsia_flexuosa",149.5901639,1968,"uknc"
"Epilobium_parviflorum",187.4863388,1968,"uknc"
"Myosotis_scorpioides",165.5464481,1968,"uknc"
"Poa_nemoralis",148.5928962,1968,"uknc"
"Poa_trivialis",145.6010929,1968,"uknc"
"Deschampsia_cespitosa",167.5409836,1968,"uknc"
"Festuca_pratensis",153.579235,1968,"uknc"
"Festuca_arundinacea",144.6038251,1968,"uknc"
"Papaver_somniferum",187.4863388,1968,"uknc"
"Rubus_idaeus",159,1969,"uknc"
"Alopecurus_pratensis",101,1969,"uknc"
"Cichorium_intybus",204,1969,"uknc"
"Ilex_aquifolium",150,1969,"uknc"
"Ribes_rubrum",125,1969,"uknc"
"Phleum_pratense",173,1969,"uknc"
"Lunaria_annua",117,1969,"uknc"
"Geum_urbanum",153,1969,"uknc"
"Digitalis_purpurea",173,1969,"uknc"
"Trifolium_repens",148,1969,"uknc"
"Scrophularia_vernalis",111,1969,"uknc"
"Anagallis_arvensis",172,1969,"uknc"
"Silene_latifolia",137,1969,"uknc"
"Solidago_canadensis",207,1969,"uknc"
"Poa_pratensis",131,1969,"uknc"
"Silene_dioica",101,1969,"uknc"
"Sinapis_alba",144,1969,"uknc"
"Arctium_lappa",216,1969,"uknc"
"Sonchus_oleraceus",102,1969,"uknc"
"Arrhenatherum_elatius",142,1969,"uknc"
"Calluna_vulgaris",208,1969,"uknc"
"Avena_sativa",171,1969,"uknc"
"Aster_novi-belgii",232,1969,"uknc"
"Cynosurus_cristatus",153,1969,"uknc"
"Briza_media",144,1969,"uknc"
"Plantago_lanceolata",101,1969,"uknc"
"Trifolium_pratense",137,1969,"uknc"
"Deschampsia_flexuosa",150,1969,"uknc"
"Poa_nemoralis",138,1969,"uknc"
"Deschampsia_cespitosa",168,1969,"uknc"
"Viola_odorata",93,1969,"uknc"
"Festuca_pratensis",161,1969,"uknc"
"Festuca_arundinacea",129,1969,"uknc"
"Poa_trivialis",143,1969,"uknc"
"Rubus_idaeus",156,1970,"uknc"
"Alopecurus_pratensis",124,1970,"uknc"
"Cichorium_intybus",183,1970,"uknc"
"Ilex_aquifolium",144,1970,"uknc"
"Ribes_rubrum",126,1970,"uknc"
"Phleum_pratense",166,1970,"uknc"
"Lunaria_annua",122,1970,"uknc"
"Geum_urbanum",151,1970,"uknc"
"Digitalis_purpurea",168,1970,"uknc"
"Ulmus_glabra",84,1970,"uknc"
"Trifolium_repens",149,1970,"uknc"
"Scrophularia_vernalis",120,1970,"uknc"
"Anagallis_arvensis",136,1970,"uknc"
"Silene_latifolia",154,1970,"uknc"
"Solidago_canadensis",204,1970,"uknc"
"Poa_pratensis",132,1970,"uknc"
"Chenopodium_album",182,1970,"uknc"
"Silene_dioica",138,1970,"uknc"
"Sinapis_alba",152,1970,"uknc"
"Sonchus_oleraceus",149,1970,"uknc"
"Arrhenatherum_elatius",149,1970,"uknc"
"Calluna_vulgaris",198,1970,"uknc"
"Antirrhinum_majus",164,1970,"uknc"
"Aster_novi-belgii",231,1970,"uknc"
"Cynosurus_cristatus",154,1970,"uknc"
"Briza_media",145,1970,"uknc"
"Plantago_lanceolata",127,1970,"uknc"
"Trifolium_pratense",137,1970,"uknc"
"Epilobium_parviflorum",165,1970,"uknc"
"Myosotis_scorpioides",160,1970,"uknc"
"Poa_nemoralis",142,1970,"uknc"
"Deschampsia_cespitosa",160,1970,"uknc"
"Viola_odorata",78,1970,"uknc"
"Festuca_pratensis",163,1970,"uknc"
"Festuca_rubra",137,1970,"uknc"
"Festuca_arundinacea",137,1970,"uknc"
"Papaver_somniferum",206,1970,"uknc"
"Poa_trivialis",158,1970,"uknc"
"Rubus_idaeus",149,1971,"uknc"
"Alopecurus_pratensis",112,1971,"uknc"
"Ilex_aquifolium",135,1971,"uknc"
"Cichorium_intybus",193,1971,"uknc"
"Ribes_rubrum",126,1971,"uknc"
"Phleum_pratense",172,1971,"uknc"
"Geum_urbanum",142,1971,"uknc"
"Lunaria_annua",109,1971,"uknc"
"Digitalis_purpurea",169,1971,"uknc"
"Ulmus_glabra",81,1971,"uknc"
"Trifolium_repens",136,1971,"uknc"
"Scrophularia_vernalis",104,1971,"uknc"
"Anagallis_arvensis",136,1971,"uknc"
"Silene_latifolia",135,1971,"uknc"
"Solidago_canadensis",203,1971,"uknc"
"Poa_pratensis",109,1971,"uknc"
"Chenopodium_album",190,1971,"uknc"
"Lactuca_serriola",205,1971,"uknc"
"Silene_dioica",131,1971,"uknc"
"Sinapis_alba",138,1971,"uknc"
"Sonchus_oleraceus",135,1971,"uknc"
"Arrhenatherum_elatius",141,1971,"uknc"
"Calluna_vulgaris",199,1971,"uknc"
"Avena_sativa",175,1971,"uknc"
"Antirrhinum_majus",148,1971,"uknc"
"Aster_novi-belgii",237,1971,"uknc"
"Cynosurus_cristatus",149,1971,"uknc"
"Briza_media",142,1971,"uknc"
"Plantago_lanceolata",115,1971,"uknc"
"Trifolium_pratense",133,1971,"uknc"
"Deschampsia_flexuosa",129,1971,"uknc"
"Poa_nemoralis",142,1971,"uknc"
"Viola_odorata",83,1971,"uknc"
"Festuca_pratensis",147,1971,"uknc"
"Festuca_arundinacea",129,1971,"uknc"
"Papaver_somniferum",188,1971,"uknc"
"Poa_trivialis",149,1971,"uknc"
"Rumex_acetosella",120.6693989,1972,"uknc"
"Rubus_idaeus",145.6010929,1972,"uknc"
"Cichorium_intybus",192.4726776,1972,"uknc"
"Alopecurus_pratensis",104.7131148,1972,"uknc"
"Ilex_aquifolium",133.6338798,1972,"uknc"
"Ribes_rubrum",107.704918,1972,"uknc"
"Phleum_pratense",172.5273224,1972,"uknc"
"Geum_urbanum",149.5901639,1972,"uknc"
"Lunaria_annua",107.704918,1972,"uknc"
"Digitalis_purpurea",168.5382514,1972,"uknc"
"Ulmus_glabra",86.76229508,1972,"uknc"
"Trifolium_repens",124.6584699,1972,"uknc"
"Scrophularia_vernalis",111.6939891,1972,"uknc"
"Solidago_canadensis",215.4098361,1972,"uknc"
"Silene_latifolia",125.6557377,1972,"uknc"
